ip,country,city,longitude,latitude
68.76.193.19,United States,Southfield,-83.28885650634766,42.466060638427734
88.134.102.99,Germany,Roth,11.090579986572266,49.2445182800293
119.118.96.10,China,Kangping Xian,123.34500122070312,42.737998962402344
178.39.117.82,Switzerland,Lugano,8.947270393371582,45.990699768066406
36.64.2.41,Indonesia,Jakarta,106.82669830322266,-6.173799991607666
193.28.202.163,South Africa,None,24,-29
196.76.201.154,Morocco,Rabat,-6.8460001945495605,33.99700164794922
61.219.180.66,Taiwan,Taipei,121.56800079345703,25.034000396728516
177.17.18.45,Brazil,Vitória,-40.33808898925781,-20.322189331054688
109.223.243.61,France,Saint-Ouen,2.3410699367523193,48.8602294921875
71.113.25.144,United States,Richmond,-77.45069885253906,37.54399871826172
78.227.50.32,France,Saint-Ouen,2.3410699367523193,48.8602294921875
125.221.208.8,China,Huangpi,114.28945922851562,30.553970336914062
195.56.141.213,Hungary,Budapest,19.14967918395996,47.4599609375
61.217.155.179,Taiwan,Taipei,121.56800079345703,25.034000396728516
77.218.168.142,Sweden,Stockholm,18.051319122314453,59.315120697021484
188.207.248.136,Netherlands,Zwijndrecht,4.641499996185303,51.81925964355469
116.69.80.10,China,Shanghai,121.47020721435547,31.228469848632812
68.66.35.54,United States,Broomfield,-105.14920043945312,39.892608642578125
212.69.86.109,Poland,Praga Południe,21.031389236450195,52.27531051635742
47.246.100.74,United States,San Mateo,-122.32969665527344,37.539791107177734
193.18.47.252,Germany,Munich,11.618300437927246,48.109798431396484
162.44.192.15,United States,Durham,-78.79409790039062,35.9469108581543
43.191.248.131,China,Beijing,116.37922668457031,39.91175842285156
172.198.100.67,Australia,Sydney,151.2071075439453,-33.86714172363281
188.207.252.196,Netherlands,Diemen,4.940189838409424,52.309051513671875
91.188.194.44,Turkey,Bağcılar,28.826900482177734,41.034000396728516
45.212.64.15,Zambia,Lusaka,28.296430587768555,-15.394379615783691
149.85.82.34,United States,Newark,-74.19452667236328,40.738731384277344
87.118.108.195,Germany,Erfurt,11.031519889831543,50.96818161010742
71.124.192.2,United States,Boston,-71.07202911376953,42.337039947509766
37.87.121.155,Germany,Bonn,7.1539998054504395,50.722999572753906
202.170.168.136,New Zealand,Auckland,174.70875549316406,-36.916839599609375
217.145.17.21,Russia,Moscow,37.62211990356445,55.768531799316406
31.242.40.140,Germany,Bonn,7.1539998054504395,50.722999572753906
76.197.88.128,United States,Manhattan,-73.97901916503906,40.7589111328125
104.140.204.204,United States,Ahwatukee Foothills,-111.92906188964844,33.39390182495117
185.157.214.103,Spain,Molina de Segura,-1.2132999897003174,38.05400085449219
103.116.68.72,Taiwan,Kaohsiung,120.30606842041016,22.628389358520508
213.95.253.221,Germany,Nürnberg,11.125100135803223,49.41699981689453
153.150.107.179,Japan,Osaka,135.50750732421875,34.67094039916992
217.150.106.174,United Kingdom,Islington,-0.10000000149011612,51.53329849243164
82.36.75.191,United Kingdom,Islington,-0.06750000268220901,51.53860855102539
52.65.20.69,Australia,Sydney,151.2071075439453,-33.86714172363281
46.235.183.123,France,Saint-Avold,6.8325300216674805,49.06848907470703
112.15.240.11,China,Hangzhou,120.15888977050781,30.235559463500977
108.194.35.59,United States,Farmington Hills,-83.373291015625,42.39759826660156
65.20.64.4,United States,West Palm Beach,-80.06945037841797,26.719690322875977
47.247.117.81,India,Narsimhapur,79.1604995727539,23.07360076904297
59.179.60.206,India,New Delhi,77.2249984741211,28.635299682617188
158.237.220.203,Japan,Tokyo,139.73855590820312,35.69628143310547
217.158.236.200,United Kingdom,Burngreave,-1.4286099672317505,53.3872184753418
185.159.250.161,Belgium,Antwerpen,4.393549919128418,51.218788146972656
136.131.50.39,United States,Dearborn Heights,-83.17639923095703,42.3224983215332
73.148.68.77,United States,Richmond,-77.55667877197266,37.623619079589844
207.251.190.236,United States,Mundelein,-88.04740905761719,42.26280975341797
90.170.161.26,Spain,Armilla,-3.657249927520752,37.19279098510742
193.24.141.218,Germany,Nürnberg,11.092499732971191,49.436100006103516
59.177.16.6,India,New Delhi,77.2249984741211,28.635299682617188
213.85.89.149,Russia,Moscow,37.636600494384766,55.764408111572266
18.44.200.140,United States,Cambridge,-71.1011962890625,42.36439895629883
84.78.227.55,Spain,Madrid,-3.7425999641418457,40.40370178222656
93.215.113.26,Germany,Schwelm,7.1508002281188965,51.25619888305664
77.208.5.86,Spain,Madrid,-3.6471199989318848,40.5011100769043
162.47.254.232,United States,Herndon,-77.38275909423828,38.98371887207031
84.66.41.152,United Kingdom,Swindon,-1.7738900184631348,51.571388244628906
101.84.76.200,China,Shanghai,121.47020721435547,31.228469848632812
174.238.232.134,United States,Manhattan,-73.97901916503906,40.7589111328125
47.244.79.251,Hong Kong SAR China,Hong Kong,114.15239715576172,22.248310089111328
188.194.36.65,Germany,Berlin,13.399999618530273,52.45899963378906
47.252.207.247,Australia,Melbourne,144.96316528320312,-37.81425094604492
54.101.91.189,United States,Woodbridge,-74.29180908203125,40.55458068847656
80.14.225.28,France,Aubervilliers,2.3812100887298584,48.91482162475586
95.245.94.224,Italy,Milan,9.192000389099121,45.47200012207031
62.237.220.204,Finland,Helsinki,24.737300872802734,60.23099899291992
217.158.237.218,United Kingdom,City of Westminster,-0.11416999995708466,51.45832824707031
104.130.45.223,United States,San Antonio,-98.53563690185547,29.472780227661133
5.83.50.43,Spain,Morón de la Frontera,-5.451869964599609,37.12229919433594
93.220.203.176,Germany,Darmstadt,8.650859832763672,49.87242126464844
195.52.65.16,Germany,Frankfurt am Main,8.682100296020508,50.11090087890625
89.156.200.137,France,Hautmont,3.8427999019622803,50.203678131103516
163.57.156.202,Japan,Namie,141.0314483642578,37.45750045776367
178.44.196.68,Russia,Orenburg,55.10371017456055,51.76824188232422
73.153.155.185,United States,Denver,-105.02108764648438,39.683441162109375
5.84.74.163,Italy,Arese,9.067130088806152,45.541419982910156
213.87.122.175,Russia,Novosibirsk,82.92781829833984,55.03923034667969
89.155.181.92,Portugal,Porto,-8.609999656677246,41.15583038330078
99.49.30.236,United States,San Jose,-121.83822631835938,37.330528259277344
66.34.36.66,United States,Dallas,-96.87747192382812,32.81932067871094
179.61.221.213,Brazil,São Paulo,-46.633140563964844,-23.5515193939209
3.55.114.33,United States,Princeton,-74.6622085571289,40.37825012207031
37.89.158.232,Germany,Bonn,7.1539998054504395,50.722999572753906
172.197.91.183,Australia,Melbourne,144.96316528320312,-37.81425094604492
71.123.182.100,United States,Manhattan,-73.97901916503906,40.7589111328125
61.217.155.179,Taiwan,Taipei,121.56800079345703,25.034000396728516
27.183.112.7,South Korea,Seoul,126.98265075683594,37.56100082397461
171.178.47.252,United States,Concord,-122.0357894897461,38.00468826293945
23.117.88.136,United States,Hendersonville,-82.4690933227539,35.331138610839844
82.38.97.22,United Kingdom,Crawley,-0.19916999340057373,51.1269416809082
84.69.86.96,United Kingdom,Stafford,-2.11860990524292,52.804168701171875
205.219.183.122,United States,Manhattan,-73.97901916503906,40.7589111328125
192.15.253.215,Iran,Tehran,51.415279388427734,35.68722152709961
185.157.213.95,Spain,Molina de Segura,-1.2132999897003174,38.05400085449219
173.221.220.207,United States,Atlanta,-84.3882827758789,33.798458099365234
39.118.107.188,South Korea,Icheon-si,127.44412994384766,37.28255081176758
109.217.146.43,France,Dijon,5.043990135192871,47.32720947265625
27.176.6.107,South Korea,Seoul,126.98265075683594,37.56100082397461
85.95.241.26,Turkey,Umraniye,29.165300369262695,41.0182991027832
185.157.218.170,Italy,Torre Di Fine,12.751799583435059,45.56669998168945
195.59.186.174,United Kingdom,Romford,0.11659999936819077,51.58330154418945
93.210.43.191,Germany,Frankfurt am Main,8.682100296020508,50.11090087890625
47.255.242.37,Japan,Tatsuno,138,36
84.69.93.222,United Kingdom,Swindon,-1.7738900184631348,51.571388244628906
78.228.72.139,France,Saint-Cannat,5.29826021194458,43.621028900146484
103.124.195.61,Hong Kong SAR China,Hong Kong,114.15239715576172,22.248310089111328
217.152.140.205,Finland,Helsinki,24.934999465942383,60.165000915527344
3.48.12.197,United States,Princeton,-74.6622085571289,40.37825012207031
95.253.220.200,Italy,Milan,9.192000389099121,45.47200012207031
76.196.79.251,United States,Groveland,-120.21808624267578,37.84975051879883
75.187.189.211,United States,Akron,-81.5466537475586,41.072288513183594
121.157.222.227,South Korea,Seongnam-si,127.12069702148438,37.34339904785156
64.7.114.32,United States,Herndon,-77.39118957519531,38.92660140991211
66.42.165.95,United States,Norwood,-84.4885025024414,39.109439849853516
61.216.129.27,Taiwan,Taipei,121.51986694335938,25.042139053344727
98.44.195.58,United States,Marietta,-84.55000305175781,33.95249938964844
37.92.206.227,Germany,Bonn,7.1539998054504395,50.722999572753906
103.118.108.196,Indonesia,Jakarta,106.83260345458984,-6.229800224304199
65.21.90.169,Germany,Gunzenhausen,10.753399848937988,49.11594009399414
217.148.73.159,Spain,Barcelona,2.1683599948883057,41.37958908081055
5.88.136.142,Italy,Ivrea,7.875949859619141,45.466609954833984
190.224.10.174,Argentina,Buenos Aires,-58.41730880737305,-34.611778259277344
18.43.191.240,United States,Cambridge,-71.1011962890625,42.36439895629883
188.198.110.237,Slovenia,Ljubljana,14.490799903869629,46.00590133666992
157.223.252.207,United States,Columbus,-82.9988021850586,39.96139907836914
84.67.60.207,United Kingdom,Swindon,-1.7738900184631348,51.571388244628906
213.88.133.83,Sweden,Sollentuna,17.763629913330078,59.530338287353516
76.196.77.213,United States,Tracy,-121.41510772705078,37.763328552246094
203.184.131.57,Hong Kong SAR China,Hong Kong,114.15239715576172,22.248310089111328
77.223.251.183,Saudi Arabia,None,45,25
193.27.189.211,Germany,Köln,6.978099822998047,50.936500549316406
85.93.212.78,Luxembourg,Luxembourg,6.050000190734863,49.61000061035156
52.74.171.189,Singapore,Singapore,103.8198013305664,1.3200000524520874
217.150.104.141,United Kingdom,City of Westminster,-0.17000000178813934,51.50416946411133
217.152.140.202,Finland,Helsinki,24.934999465942383,60.165000915527344
45.212.65.26,Zambia,Lusaka,28.296430587768555,-15.394379615783691
178.37.80.14,Poland,Poznań,16.837390899658203,52.41360092163086
94.231.127.243,Russia,Ryazan’,39.73857116699219,54.62466049194336
116.69.80.15,China,Shanghai,121.47020721435547,31.228469848632812
212.74.160.9,Switzerland,Renens,6.526579856872559,46.518428802490234
88.134.103.118,Germany,Berlin,13.399999618530273,52.45899963378906
20.64.0.0,United States,San Antonio,-98.53563690185547,29.472780227661133
98.41.157.211,United States,Los Angeles,-118.24163818359375,34.04563903808594
193.20.66.35,Germany,Hamburg,10.025199890136719,53.602298736572266
109.223.244.75,France,Saint-Ouen,2.3410699367523193,48.8602294921875
79.254.227.57,Germany,Hannover,9.732000350952148,52.37590026855469
66.39.112.6,United States,Pittsburgh,-79.97879791259766,40.42264938354492
84.73.158.239,Switzerland,Wettingen,8.331850051879883,47.44532012939453
105.157.209.18,Morocco,Rabat,-6.8460001945495605,33.99700164794922
85.83.62.230,Denmark,Copenhagen,12.58782958984375,55.680511474609375
99.62.225.21,United States,Pleasanton,-121.84964752197266,37.64530944824219
195.60.198.105,United Kingdom,City of Westminster,-0.08556000143289566,51.45777893066406
47.245.85.86,United States,San Mateo,-122.32969665527344,37.539791107177734
70.99.49.28,United States,Denver,-104.98564147949219,39.742488861083984
185.144.14.224,Turkey,Istanbul,28.96027946472168,41.01388931274414
115.51.57.147,China,Nanyang,112.5130615234375,32.987220764160156
200.135.124.198,Brazil,Florianópolis,-48.55625915527344,-27.596019744873047
82.37.88.142,United Kingdom,Bristol,-2.5758299827575684,51.47193908691406
103.117.90.173,China,Xi’an,108.95320892333984,34.25532913208008
51.48.15.243,Germany,Munich,11.575900077819824,48.182701110839844
180.73.149.92,Malaysia,Kuala Lumpur,101.68689727783203,3.1389999389648438
82.32.8.134,United Kingdom,South Croydon,-0.10417000204324722,51.35028076171875
93.220.206.234,Germany,Seelze,9.58961009979248,52.39706039428711
